SectionID,Semester,Capacity
1/1,fall,30
1/2,fall,30
1/3,fall,30
1/4,fall,30
1/5,fall,30
1/6,fall,30
1/7,fall,30
1/8,fall,30
1/9,fall,30
1/10,fall,30
1/11,fall,30
1/12,fall,30
2/1,fall,30
2/2,fall,30
2/3,fall,30
2/4,fall,30
2/5,fall,30
2/6,fall,30
2/7,fall,30
2/8,fall,30
2/9,fall,30
3/1,fall,30
3/2,fall,30
3/3,fall,30
3/4,fall,30
3/5,fall,30
3/6,fall,30
3/7,fall,30
3/8,fall,30
3/9,fall,30
4/1,fall,30
4/2,fall,30
4/3,fall,30
4/4,fall,30
4/5,fall,30
4/6,fall,30
4/7,fall,30
4/8,fall,30
4/9,fall,30
